epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,791.953,0.38348,0.49386,0.56568,0.90476,0.56941,0.70605,0.65818,0.60063,0.56941,0.70605,0.65818,0.60453,0.45946,0.67342,1.30315,1.06275,0.00059825,0.00059825,0.00059825
81,800.937,0.35695,0.45465,0.51465,0.8964,0.68303,0.68961,0.7319,0.67022,0.68303,0.68961,0.7344,0.67282,0.44228,0.72948,1.15648,1.10952,0.00059,0.00059,0.00059
82,809.91,0.34386,0.49478,0.50179,0.86501,0.5896,0.67856,0.65064,0.59501,0.5896,0.67856,0.66002,0.60017,0.43724,0.7301,1.50503,1.04528,0.00058175,0.00058175,0.00058175
83,818.892,0.36923,0.50967,0.51502,0.89776,0.64591,0.63552,0.69325,0.63699,0.64591,0.63552,0.70265,0.65249,0.43283,0.69602,1.26738,1.01591,0.0005735,0.0005735,0.0005735
84,827.854,0.36253,0.44283,0.48263,0.8901,0.56753,0.72955,0.68548,0.63032,0.56753,0.72955,0.69706,0.64339,0.43376,0.68059,1.26671,1.01693,0.00056525,0.00056525,0.00056525
85,836.934,0.34564,0.42878,0.48969,0.89021,0.68506,0.63402,0.69209,0.62957,0.68506,0.63402,0.69209,0.65068,0.44082,0.7362,1.33201,1.04102,0.000557,0.000557,0.000557
86,845.874,0.36046,0.47605,0.52627,0.88784,0.73334,0.66832,0.70813,0.65147,0.73334,0.66832,0.71258,0.6541,0.46318,0.77808,1.20818,1.09417,0.00054875,0.00054875,0.00054875
87,854.773,0.35633,0.49796,0.49763,0.89614,0.62381,0.66356,0.64313,0.58408,0.62381,0.66356,0.64539,0.59494,0.4546,0.76887,1.16111,1.07831,0.0005405,0.0005405,0.0005405
88,863.758,0.33948,0.45585,0.45822,0.88339,0.50868,0.80504,0.67364,0.61929,0.50868,0.80504,0.67612,0.6166,0.45568,0.78665,1.29296,1.08834,0.00053225,0.00053225,0.00053225
89,872.722,0.3417,0.45471,0.46872,0.89623,0.60259,0.68456,0.69499,0.62667,0.60259,0.68456,0.69764,0.64059,0.44334,0.90003,1.2684,1.07022,0.000524,0.000524,0.000524
