epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,3791.09,0.49015,0.61827,0.42542,0.97092,0.76737,0.83675,0.85203,0.75267,0.76737,0.83675,0.84819,0.75597,0.50418,0.57464,0.57367,1.04637,0.000656,0.000656,0.000656
98,3826.42,0.48411,0.57833,0.42861,0.95956,0.76927,0.82008,0.85957,0.76201,0.76927,0.82008,0.85311,0.7674,0.51001,0.59857,0.61716,1.03693,0.000649813,0.000649813,0.000649813
99,3862.04,0.48247,0.58262,0.41983,0.95856,0.78388,0.85062,0.87642,0.77031,0.78388,0.85062,0.86956,0.76905,0.50506,0.66908,0.54995,1.04162,0.000643625,0.000643625,0.000643625
100,3897.65,0.49296,0.62131,0.429,0.95734,0.7941,0.83464,0.86655,0.7624,0.8486,0.76994,0.86067,0.76815,0.51947,0.66834,0.56499,1.06432,0.000637437,0.000637437,0.000637437
101,3933.34,0.474,0.6081,0.4247,0.95406,0.82244,0.76505,0.86095,0.76305,0.82244,0.76505,0.85632,0.76632,0.51284,0.68312,0.60348,1.05015,0.00063125,0.00063125,0.00063125
102,3968.89,0.48539,0.61201,0.42265,0.96859,0.8382,0.78958,0.86441,0.76102,0.8382,0.78958,0.86016,0.76688,0.52485,0.68314,0.59141,1.05909,0.000625062,0.000625062,0.000625062
103,4004.29,0.48476,0.58926,0.41089,0.95434,0.81018,0.83527,0.87522,0.76662,0.80565,0.83055,0.87004,0.77009,0.53042,0.70815,0.55975,1.06684,0.000618875,0.000618875,0.000618875
104,4039.66,0.47975,0.60293,0.41463,0.95161,0.78611,0.82159,0.86064,0.75793,0.80133,0.81535,0.85549,0.7614,0.5155,0.64741,0.58538,1.05957,0.000612687,0.000612687,0.000612687
105,4075.07,0.47255,0.61087,0.42106,0.9523,0.77983,0.80812,0.8544,0.75642,0.77756,0.80557,0.84892,0.76141,0.51227,0.6485,0.62819,1.03865,0.0006065,0.0006065,0.0006065
106,4110.23,0.46561,0.58573,0.39399,0.95112,0.82049,0.80348,0.86075,0.75642,0.82049,0.80348,0.85443,0.76733,0.53274,0.69397,0.6075,1.06204,0.000600313,0.000600313,0.000600313
107,4145.83,0.47379,0.58024,0.40541,0.95796,0.81851,0.84848,0.86402,0.75804,0.81639,0.84592,0.85965,0.7621,0.521,0.71172,0.58094,1.04896,0.000594125,0.000594125,0.000594125
108,4180.91,0.47584,0.5792,0.40662,0.94627,0.80497,0.79578,0.874,0.77278,0.80263,0.79323,0.87061,0.77081,0.5155,0.69819,0.57019,1.05398,0.000587938,0.000587938,0.000587938
109,4215.61,0.47716,0.59107,0.40813,0.95513,0.81113,0.81434,0.87194,0.77342,0.81113,0.81434,0.86867,0.76735,0.50237,0.65713,0.55381,1.03556,0.00058175,0.00058175,0.00058175
110,4251.12,0.47335,0.59023,0.40342,0.94902,0.76628,0.89548,0.86129,0.75706,0.76438,0.89293,0.85705,0.76528,0.52067,0.6999,0.56468,1.04653,0.000575563,0.000575563,0.000575563
111,4285.98,0.4628,0.57618,0.3958,0.94448,0.77577,0.85426,0.87254,0.77103,0.7738,0.85171,0.86921,0.76936,0.52525,0.71735,0.56689,1.06625,0.000569375,0.000569375,0.000569375
112,4321.19,0.45499,0.55268,0.38739,0.94519,0.86095,0.78692,0.86196,0.76265,0.85861,0.78437,0.85786,0.76666,0.51595,0.70175,0.57543,1.05816,0.000563187,0.000563187,0.000563187
113,4356.89,0.4615,0.56873,0.40448,0.94729,0.76303,0.85674,0.84283,0.74361,0.76303,0.85674,0.84093,0.74813,0.53105,0.66779,0.59699,1.07111,0.000557,0.000557,0.000557
114,4392.41,0.45008,0.56882,0.39368,0.93708,0.84586,0.78574,0.86335,0.75957,0.84586,0.78574,0.85873,0.76722,0.52752,0.71862,0.59701,1.05124,0.000550813,0.000550813,0.000550813
115,4427.89,0.47014,0.59988,0.3965,0.94995,0.83896,0.78196,0.87667,0.77081,0.83896,0.78196,0.87196,0.77319,0.52647,0.71235,0.59408,1.05802,0.000544625,0.000544625,0.000544625
116,4463.61,0.47412,0.57869,0.40677,0.95134,0.85352,0.7854,0.86238,0.75964,0.85352,0.7854,0.8579,0.76675,0.52757,0.68467,0.58364,1.05331,0.000538438,0.000538438,0.000538438
117,4498.95,0.45485,0.5573,0.38485,0.93788,0.82655,0.80721,0.8766,0.77317,0.82655,0.80721,0.87246,0.77197,0.52127,0.68439,0.58963,1.06452,0.00053225,0.00053225,0.00053225
118,4538.49,0.45859,0.5945,0.38394,0.94718,0.87799,0.77426,0.88217,0.77756,0.87799,0.77426,0.87931,0.79002,0.5204,0.65039,0.57315,1.06273,0.000526063,0.000526063,0.000526063
119,4573.29,0.46025,0.58911,0.38865,0.94464,0.85505,0.83321,0.88841,0.77611,0.84991,0.82849,0.87998,0.78378,0.52981,0.7117,0.57383,1.08147,0.000519875,0.000519875,0.000519875
120,4610.58,0.44642,0.56401,0.36747,0.94283,0.84909,0.81514,0.87221,0.76179,0.84909,0.81514,0.86788,0.76321,0.53816,0.716,0.58164,1.08794,0.000513688,0.000513688,0.000513688
121,4645.74,0.44456,0.54398,0.37117,0.93762,0.79052,0.83768,0.85703,0.75238,0.79408,0.82437,0.85039,0.75283,0.53628,0.71486,0.62694,1.07194,0.0005075,0.0005075,0.0005075
122,4680.93,0.44269,0.54838,0.36805,0.9454,0.83224,0.80192,0.87325,0.77539,0.83276,0.80191,0.86838,0.77325,0.52038,0.70543,0.59323,1.06797,0.000501313,0.000501313,0.000501313
123,4717.2,0.43845,0.55507,0.37166,0.93985,0.78386,0.82469,0.83698,0.73982,0.78125,0.82038,0.83087,0.74189,0.52723,0.7156,0.67225,1.0619,0.000495125,0.000495125,0.000495125
